id,phone,password,user_name,time_account
1,+421905111222,$pbkdf2-sha256$29000$CUHImfM.51yLUSqFEAKAEA$.z3T5nkM4OQbBOUrHX6brxB4v0X2RdvvYoNOX5K.db0,Janko Hrasko,0
2,+421905333444,$pbkdf2-sha256$29000$CUHImfM.51yLUSqFEAKAEA$.z3T5nkM4OQbBOUrHX6brxB4v0X2RdvvYoNOX5K.db0,Darth Vader,0
3,+421905333445,$pbkdf2-sha256$29000$CUHImfM.51yLUSqFEAKAEA$.z3T5nkM4OQbBOUrHX6brxB4v0X2RdvvYoNOX5K.db0,Jozef Kubani,0
4,+421955878655,$pbkdf2-sha256$29000$CUHImfM.51yLUSqFEAKAEA$.z3T5nkM4OQbBOUrHX6brxB4v0X2RdvvYoNOX5K.db0,Lukas Medzugorie,0
5,+421854589656,$pbkdf2-sha256$29000$CUHImfM.51yLUSqFEAKAEA$.z3T5nkM4OQbBOUrHX6brxB4v0X2RdvvYoNOX5K.db0,Martin Nabielom,0
6,+421854589876,$pbkdf2-sha256$29000$CUHImfM.51yLUSqFEAKAEA$.z3T5nkM4OQbBOUrHX6brxB4v0X2RdvvYoNOX5K.db0,Julius Navazny,0
